iter	RMSE
0	2.532487968
1	2.493043748
2	2.462351777
3	2.445460513
4	2.417783478
5	2.401936852
6	2.389116864
7	2.371186324
8	2.354842887
9	2.333596788
10	2.323460056
11	2.313162768
12	2.288392341
13	2.278511165
14	2.271202104
15	2.254828769
16	2.240723737
17	2.22720459
18	2.216655104
19	2.206584435
20	2.1950678
21	2.190654561
22	2.179820427
23	2.169151922
24	2.158187179
25	2.149641448
26	2.139301206
27	2.125867393
28	2.114254324
29	2.102152898
30	2.094768259
31	2.07969834
32	2.060573446
33	2.043402845
34	2.030333307
35	2.018654372
36	2.009809308
37	1.99426529
38	1.973642854
39	1.964855483
40	1.951060431
41	1.935399819
42	1.925621645
43	1.919004136
44	1.909616442
45	1.894237436
46	1.881849502
47	1.869531356
48	1.860349783
49	1.851584607
50	1.843567691
51	1.83680377
52	1.826842013
53	1.813038397
54	1.801641576
55	1.793030394
56	1.782561953
57	1.773531736
58	1.766101204
59	1.754983667
60	1.744924881
61	1.740022955
62	1.733404193
63	1.718654941
64	1.70581819
65	1.690961055
66	1.682391112
67	1.669060352
68	1.664344364
69	1.655200829
70	1.645612803
71	1.636195912
72	1.625601096
73	1.615721047
74	1.610764696
75	1.602094976
76	1.593473103
77	1.584511404
78	1.574640713
79	1.568936981
80	1.563377952
81	1.558668913
82	1.552872195
83	1.542772863
84	1.534691469
85	1.52794499
86	1.519553835
87	1.509688575
88	1.500409511
89	1.496288843
90	1.489917461
91	1.480717925
92	1.475535486
93	1.462309049
94	1.452352625
95	1.440212064
96	1.432128854
97	1.425026913
98	1.41619548
99	1.409954268
