iter	Passed	Remaining
0	0	32
1	0	29
2	0	26
3	1	26
4	1	25
5	1	26
6	2	29
7	2	31
8	3	31
9	3	30
10	3	30
11	4	29
12	4	28
13	4	27
14	4	26
15	4	26
16	5	25
17	5	26
18	6	25
19	6	25
20	6	25
21	6	24
22	7	23
23	7	23
24	7	23
25	7	22
26	8	22
27	8	21
28	8	21
29	9	21
30	9	20
31	9	20
32	9	20
33	10	19
34	10	19
35	10	19
36	11	19
37	11	18
38	11	18
39	12	18
40	12	17
41	12	17
42	12	17
43	13	16
44	13	16
45	13	16
46	13	15
47	14	15
48	14	14
49	14	14
50	14	14
51	15	13
52	15	13
53	16	13
54	16	13
55	16	13
56	17	12
57	17	12
58	17	12
59	17	11
60	18	11
61	18	11
62	18	11
63	19	10
64	19	10
65	19	10
66	19	9
67	20	9
68	20	9
69	20	8
70	20	8
71	21	8
72	21	7
73	21	7
74	22	7
75	22	7
76	23	6
77	23	6
78	23	6
79	23	5
80	24	5
81	24	5
82	24	5
83	24	4
84	25	4
85	25	4
86	25	3
87	26	3
88	26	3
89	26	2
90	26	2
91	27	2
92	27	2
93	27	1
94	28	1
95	28	1
96	29	0
97	29	0
98	29	0
99	30	0
